v_x,v_y,v,aX,aY,a,pos_x,pos_y,msec,v_x/msec,v_y/msec,v/msec,aX/msec,aY/msec,a/msec,Mode
30.28039551,-3.98425293,30.54139197,30.28039551,-3.98425293,30.54139197,404.5860901,309.5453491,11.10000002,2.384283124,-0.313720705,2.404834027,2.384283124,-0.313720705,2.404834027,page
42.23309326,-3.187438965,42.35320453,11.95269775,0.796813965,11.81181255,446.8191833,306.3579102,11.5,3.325440433,-0.250979447,3.334898013,0.941157309,0.062741257,0.930063986,page
0,0,0,-42.23309326,3.187438965,-42.35320453,446.8191833,306.3579102,11.39999998,0,0,0,-3.325440433,0.250979447,-3.334898013,page
32.67102051,-1.593688965,32.7098674,32.67102051,-1.593688965,32.7098674,479.4902039,304.7642212,12.10000002,2.572521314,-0.125487321,2.575580125,2.572521314,-0.125487321,2.575580125,page
55.77960205,-0.796844482,55.78529346,23.10858154,0.796844482,23.07542605,535.2698059,303.9673767,10.60000002,4.392094674,-0.06274366,4.392542817,1.81957336,0.06274366,1.816962692,page
0,0,0,-55.77960205,0.796844482,-55.78529346,535.2698059,303.9673767,11.39999998,0,0,0,-4.392094674,0.06274366,-4.392542817,page
59.76379395,0,59.76379395,59.76379395,0,59.76379395,595.0335999,303.9673767,10.89999998,4.705810573,0,4.705810573,4.705810573,0,4.705810573,page
39.84259033,1.593719482,39.8744523,-19.92120361,1.593719482,-19.88934165,634.8761902,305.5610962,11.89999998,3.137211855,0.125489724,3.139720671,-1.568598719,0.125489724,-1.566089902,page
0.796844482,0.796855927,1.126916366,0.796844482,0.796855927,1.126916366,57.15884399,30.64730072,12.5,0.06274366,0.062744561,0.088733573,0.06274366,0.062744561,0.088733573,pen
0,0,0,-0.796844482,-0.796855927,-1.126916366,57.15884399,30.64730072,10.5999999,0,0,0,-0.06274366,-0.062744561,-0.088733573,pen
0.796844482,0,0.796844482,0.796844482,0,0.796844482,57.95568848,30.64730072,13.10000002,0.06274366,0,0.06274366,0.06274366,0,0.06274366,pen
