v_x,v_y,v,aX,aY,a,pos_x,pos_y,msec,Mode
-0.793365479,0.793392181,1.122007102,-0.793365479,0.793392181,1.122007102,41.4694519,32.06613922,13.70000005,pen
0.793365479,0,0.793365479,1.586730957,-0.793392181,-0.328641623,42.26281738,32.06613922,14.69999993,pen
1.586761475,-0.793392181,1.774058379,0.793395996,-0.793392181,0.9806929,43.84957886,31.27274704,18.20000005,pen
3.173553467,-0.793392181,3.271224963,1.586791992,0,1.497166585,47.02313232,30.47935486,13.5,pen
3.966949463,-2.380161285,4.62621398,0.793395996,-1.586769104,1.354989016,50.99008179,28.09919357,19.5,pen
5.553710938,-3.966941833,6.824978585,1.586761475,-1.586780548,2.198764605,56.54379272,24.13225174,16.19999993,pen
4.760375977,-0.793390274,4.826038496,-0.793334961,3.173551559,-1.998940089,61.3041687,23.33886147,17.30000007,pen
3.173522949,5.553712845,6.396481398,-1.586853027,6.347103119,1.570442902,64.47769165,28.89257431,45.89999998,pen
0,1.586780548,1.586780548,-3.173522949,-3.966932297,-4.80970085,64.47769165,30.47935486,17.79999995,pen
0.793426514,1.586784363,1.774094205,0.793426514,3.8147E-06,0.187313656,65.27111816,32.06613922,19.9000001,pen
-0.793426514,0,0.793426514,-1.586853027,-1.586784363,-0.980667691,64.47769165,32.06613922,12.79999995,pen
-0.793395996,0.793376923,1.122017891,3.05176E-05,0.793376923,0.328591377,63.68429565,32.85951614,20.70000005,pen
-0.793365479,0,0.793365479,3.05176E-05,-0.793376923,-0.328652413,62.89093018,32.85951614,14.5999999,pen
0,0.793388367,0.793388367,0.793365479,0.793388367,2.28882E-05,62.89093018,33.65290451,17.60000002,pen
-0.793395996,0,0.793395996,-0.793395996,-0.793388367,7.62939E-06,62.09753418,33.65290451,18.70000005,pen
0,1.586788177,1.586788177,0.793395996,1.586788177,0.793392181,62.09753418,35.23969269,16.39999998,pen
0,0.793388367,0.793388367,0,-0.793399811,-0.793399811,62.09753418,36.03308105,18.10000002,pen
0.793395996,2.380161285,2.508913102,0.793395996,1.586772919,1.715524735,62.89093018,38.41324234,12.89999998,pen
0,0.793392181,0.793392181,-0.793395996,-1.586769104,-1.71552092,62.89093018,39.20663452,18,pen
0.793365479,0.793392181,1.122007102,0.793365479,0,0.32861492,63.68429565,40.0000267,18.60000002,pen
0,1.586769104,1.586769104,-0.793365479,0.793376923,0.464762002,63.68429565,41.58679581,13.60000002,pen
-0.793365479,1.586784363,1.774066909,-0.793365479,1.52588E-05,0.187297805,62.89093018,43.17358017,14.5,pen
-3.173583984,3.173545837,4.488098538,-2.380218506,1.586761475,2.714031629,59.71734619,46.34712601,17.0999999,pen
-2.380126953,2.380168915,3.366037489,0.793457031,-0.793376923,-1.122061049,57.33721924,48.72729492,16.5,pen
-2.380187988,2.380168915,3.366080647,-6.10352E-05,0,4.31583E-05,54.95703125,51.10746384,14.60000002,pen
-1.586730957,1.586776733,2.244008808,0.793457031,-0.793392181,-1.122071839,53.37030029,52.69424057,19,pen
0,0,0,1.586730957,-1.586776733,-2.244008808,53.37030029,52.69424057,16.20000005,pen
0,0,0,0,0,0,53.37030029,52.69424057,13.19999993,pen
-0.793457031,0,0.793457031,-0.793457031,0,0.793457031,52.57684326,52.69424057,12.9000001,pen
0,0.793380737,0.793380737,0.793457031,0.793380737,-7.62939E-05,52.57684326,53.48762131,15,pen
0,0,0,0,-0.793380737,-0.793380737,52.57684326,53.48762131,10.5999999,pen
0,0,0,0,0,0,52.57684326,53.48762131,10.9000001,pen
0,0,0,0,0,0,52.57684326,53.48762131,16.0999999,pen
0,0,0,0,0,0,52.57684326,53.48762131,15.10000002,pen
0,0,0,0,0,0,52.57684326,53.48762131,12.20000005,pen
0,0.793392181,0.793392181,0,0.793392181,0.793392181,52.57684326,54.28101349,11.60000002,pen
0,1.586791992,1.586791992,0,0.793399811,0.793399811,52.57684326,55.86780548,14,pen
0,0.793380737,0.793380737,0,-0.793411255,-0.793411255,52.57684326,56.66118622,17.19999993,pen
0,0.793380737,0.793380737,0,0,0,52.57684326,57.45456696,15,pen
0.793365479,-0.793390274,1.122005753,0.793365479,-0.793390274,1.122005753,85.89920044,20.95868492,12.5,pen
0,0,0,-0.793365479,0.793390274,-1.122005753,85.89920044,20.95868492,11.4000001,pen
0,0.793390274,0.793390274,0,0.793390274,0.793390274,85.89920044,21.7520752,14,pen
0,4.76033783,4.76033783,0,3.966947556,3.966947556,85.89920044,26.51241302,17.39999998,pen
-1.586761475,7.140491486,7.314672285,-1.586761475,2.380153656,2.554334455,84.31243896,33.65290451,18.5,pen
-4.760375977,11.90083313,12.81760542,-3.173614502,4.760341644,5.502933132,79.55206299,45.55373764,14.5,pen
-3.173522949,6.347122192,7.096281282,1.586853027,-5.553710938,-5.721324135,76.37854004,51.90085983,16,pen
-2.380187988,5.553707123,6.042264283,0.793334961,-0.79341507,-1.054016999,73.99835205,57.45456696,16.5,pen
-1.586761475,0.793388367,1.774056673,0.793426514,-4.760318756,-4.26820761,72.41159058,58.24795532,15.5,pen
-0.793395996,-2.380149841,2.508902245,0.793365479,-3.173538208,0.734845572,71.61819458,55.86780548,17.19999993,pen
-0.793395996,-4.760341644,4.826005572,0,-2.380191803,2.317103327,70.82479858,51.10746384,18.70000005,pen
0,-6.347110748,6.347110748,0.793395996,-1.586769104,1.521105177,70.82479858,44.76035309,13.60000002,pen
1.586791992,-7.933895111,8.091019742,1.586791992,-1.586784363,1.743908993,72.41159058,36.82645798,15.79999995,pen
0.793426514,-3.173553467,3.27123329,-0.793365479,4.760341644,-4.819786451,73.20501709,33.65290451,19.5,pen
-0.793426514,-1.586765289,1.774077145,-1.586853027,1.586788177,-1.497156145,72.41159058,32.06613922,16.80000007,pen
0.793426514,0,0.793426514,1.586853027,1.586765289,-0.980650631,73.20501709,32.06613922,14.89999998,pen
0.793334961,0,0.793334961,-9.15527E-05,0,-9.15527E-05,73.99835205,32.06613922,19.39999998,pen
0.793395996,0.793376923,1.122017891,6.10352E-05,0.793376923,0.32868293,74.79174805,32.85951614,12.79999995,pen
5.553741455,4.76033783,7.314701662,4.760345459,3.966960907,6.192683771,80.3454895,37.61985397,21.60000002,pen
4.760345459,3.173549652,5.721215455,-0.793395996,-1.586788177,-1.593486207,85.10583496,40.79340363,15.60000002,pen
8.727233887,5.553722382,10.34448856,3.966888428,2.380172729,4.623273107,93.83306885,46.34712601,15,pen
3.173583984,3.173553467,4.488103933,-5.553649902,-2.380168915,-5.856384629,97.00665283,49.52067947,16.29999995,pen
0.793365479,0,0.793365479,-2.380218506,-3.173553467,-3.694738454,97.80001831,49.52067947,16.5,pen
0,0,0,0,0,0,98.59341431,19.37191772,11,pen
-0.793395996,0,0.793395996,-0.793395996,0,0.793395996,97.80001831,19.37191772,11.5,pen
0.793395996,0.793390274,1.122027332,1.586791992,0.793390274,0.328631336,98.59341431,20.165308,11.30000007,pen
0,0.793376923,0.793376923,-0.793395996,-1.33514E-05,-0.328650409,98.59341431,20.95868492,11.19999993,pen
0.793365479,3.966943741,4.045500145,0.793365479,3.173566818,3.252123223,99.38677979,24.92562866,15.5,pen
0.793426514,7.933887482,7.973461996,6.10352E-05,3.966943741,3.927961851,100.1802063,32.85951614,17.89999998,pen
0.793395996,3.966941833,4.04550426,-3.05176E-05,-3.966945648,-3.927957736,100.9736023,36.82645798,15.80000007,pen
0.793365479,2.380176544,2.508917927,-3.05176E-05,-1.586765289,-1.536586333,101.7669678,39.20663452,19.29999995,pen
0,0,0,0,0,0,105.7339172,18.57852554,12.39999998,pen
0,0,0,0,0,0,105.7339172,18.57852554,11,pen
0,0.793392181,0.793392181,0,0.793392181,0.793392181,105.7339172,19.37191772,14,pen
0.793365479,0.793390274,1.122005753,0.793365479,-1.90735E-06,0.328613571,106.5272827,20.165308,11.4000001,pen
0.793395996,3.173553467,3.271225888,3.05176E-05,2.380163193,2.149220136,107.3206787,23.33886147,10.69999993,pen
4.760345459,11.10743904,12.08453934,3.966949463,7.933885574,8.813313447,112.0810242,34.44630051,17.39999998,pen
1.586761475,6.347103119,6.542440674,-3.173583984,-4.760335922,-5.542098661,113.6677856,40.79340363,18,pen
0.793395996,9.520664215,9.55366549,-0.793365479,3.173561096,3.011224816,114.4611816,50.31406784,14.5,pen
-0.793395996,5.55373764,5.610122903,-1.586791992,-3.966926575,-3.943542588,113.6677856,55.86780548,17.5,pen
-0.793334961,3.966941833,4.04549229,6.10352E-05,-1.586795807,-1.564630613,112.8744507,59.83474731,14.70000005,pen
-0.793426514,0,0.793426514,-9.15527E-05,-3.966941833,-3.252065777,112.0810242,59.83474731,16.89999998,pen
0,0,0,0,0,0,127.155365,36.82645798,11.19999993,pen
0,0,0,0,0,0,127.155365,36.82645798,10.70000005,pen
0,-0.793376923,0.793376923,0,-0.793376923,0.793376923,127.155365,36.03308105,11,pen
0.793457031,0,0.793457031,0.793457031,0.793376923,8.01086E-05,127.948822,36.03308105,11.19999993,pen
1.586730957,-0.793388367,1.774029377,0.793273926,-0.793388367,0.980572346,129.535553,35.23969269,14,pen
3.96697998,-2.380176544,4.626247999,2.380249023,-1.586788177,2.852218622,133.502533,32.85951614,16.60000002,pen
3.966949463,-1.586769104,4.272531361,-3.05176E-05,0.79340744,-0.353716638,137.4694824,31.27274704,13.5,pen
3.966949463,-0.793392181,4.045510993,0,0.793376923,-0.227020368,141.4364319,30.47935486,19.39999998,pen
1.586761475,2.380161285,2.860590799,-2.380187988,3.173553467,-1.184920194,143.0231934,32.85951614,13.5,pen
0.793365479,3.173564911,3.271229589,-0.793395996,0.793403625,0.41063879,143.8165588,36.03308105,20.60000002,pen
0,7.933895111,7.933895111,-0.793365479,4.7603302,4.662665522,143.8165588,43.96697617,16.30000007,pen
-0.793365479,7.933883667,7.973452127,-0.793365479,-1.14441E-05,0.039557016,143.0231934,51.90085983,20.79999995,pen
-0.793395996,4.760326385,4.82599052,-3.05176E-05,-3.173557281,-3.147461607,142.2297974,56.66118622,14.79999995,pen
-1.586791992,-0.793380737,1.774080556,-0.793395996,-5.553707123,-3.051909964,140.6430054,55.86780548,16,pen
-1.586761475,-0.793395996,1.774060085,3.05176E-05,-1.52588E-05,-2.04718E-05,139.0562439,55.07440948,16.10000002,pen
-3.173522949,-5.553730011,6.396496302,-1.586761475,-4.760334015,4.622436218,135.8827209,49.52067947,19.60000002,pen
0,0,0,0,0,0,127.948822,23.33886147,14,pen
0,0,0,0,0,0,127.948822,23.33886147,11.9000001,pen
0,1.586767197,1.586767197,0,1.586767197,1.586767197,127.948822,24.92562866,14.5,pen
0.793365479,3.966945648,4.045502016,0.793365479,2.380178452,2.458734819,128.7421875,28.89257431,16.89999998,pen
0.793365479,15.07440186,15.09526482,0,11.10745621,11.04976281,129.535553,43.96697617,15,pen
-0.793365479,12.69421005,12.71897785,-1.586730957,-2.380191803,-2.37628697,128.7421875,56.66118622,19.89999998,pen
-1.58682251,8.727264404,8.870352285,-0.793457031,-3.966945648,-3.848625569,127.155365,65.38845062,15.79999995,pen
0,3.173561096,3.173561096,1.58682251,-5.553703308,-5.696791189,127.155365,68.56201172,19.10000002,pen
0,0,0,0,0,0,152.5438538,32.85951614,10.5,pen
0,0,0,0,0,0,152.5438538,32.85951614,11.20000005,pen
0.793395996,0,0.793395996,0.793395996,0,0.793395996,153.3372498,32.85951614,12.79999995,pen
1.586761475,0,1.586761475,0.793365479,0,0.793365479,154.9240112,32.85951614,13.60000002,pen
6.347137451,-1.586769104,6.542475832,4.760375977,-1.586769104,4.955714357,161.2711487,31.27274704,11.60000002,pen
7.933868408,-2.380172729,8.283205306,1.586730957,-0.793403625,1.740729474,169.2050171,28.89257431,16.10000002,pen
6.347076416,-2.380161285,6.778683263,-1.586791992,1.14441E-05,-1.504522043,175.5520935,26.51241302,13.29999995,pen
2.380187988,-1.586784363,2.860625714,-3.966888428,0.793376923,-3.918057549,177.9322815,24.92562866,19.5,pen
1.586761475,-0.793376923,1.774051555,-0.793426514,0.79340744,-1.086574159,179.519043,24.13225174,15.39999998,pen
0.793395996,-0.793390274,1.122027332,-0.793365479,-1.33514E-05,-0.652024223,180.312439,23.33886147,17.5,pen
-0.793395996,-0.793392181,1.122028681,-1.586791992,-1.90735E-06,1.3487E-06,179.519043,22.54546928,20.5,pen
-0.793365479,0,0.793365479,3.05176E-05,0.793392181,-0.328663202,178.7256775,22.54546928,14.89999998,pen
-1.586761475,-0.793394089,1.774059232,-0.793395996,-0.793394089,0.980693753,177.138916,21.7520752,16.80000007,pen
-2.380187988,-0.793390274,2.508936625,-0.793426514,3.8147E-06,0.734877393,174.758728,20.95868492,17.29999995,pen
-2.380157471,0,2.380157471,3.05176E-05,0.793390274,-0.128779154,172.3785706,20.95868492,15.10000002,pen
-0.793426514,0.793390274,1.122048911,1.586730957,0.793390274,-1.258108559,171.585144,21.7520752,13.70000005,pen
-2.380126953,4.76033783,5.322200726,-1.586700439,3.966947556,4.200151814,169.2050171,26.51241302,18.69999993,pen
-3.173583984,6.347103119,7.096291518,-0.793457031,1.586765289,1.774090792,166.0314331,32.85951614,18.70000005,pen
-5.553710938,14.28100586,15.32288594,-2.380126953,7.93390274,8.226594422,160.4777222,47.140522,13.10000002,pen
-1.586761475,7.933887482,8.091006275,3.966949463,-6.347118378,-7.231879665,158.8909607,55.07440948,14.39999998,pen
-0.793395996,7.140487671,7.184430484,0.793365479,-0.793399811,-0.906575791,158.0975647,62.21489716,18.39999998,pen
0,0,0,0,0,0,165.2380981,30.47935486,14.0999999,pen
0,0.793392181,0.793392181,0,0.793392181,0.793392181,165.2380981,31.27274704,11.30000007,pen
0.793334961,0.793392181,1.121985523,0.793334961,0,0.328593342,166.0314331,32.06613922,12,pen
3.173583984,2.380161285,3.966963959,2.380249023,1.586769104,2.844978436,169.2050171,34.44630051,14.10000002,pen
4.760314941,5.553726196,7.314675181,1.586730957,3.173564911,3.347711222,173.965332,40.0000267,16.19999993,pen
3.966949463,3.966949463,5.610113732,-0.793365479,-1.586776733,-1.704561449,177.9322815,43.96697617,20.20000005,pen
6.347106934,6.347091675,8.976153918,2.380157471,2.380142212,3.366040186,184.2793884,50.31406784,16,pen
2.380187988,0.793395996,2.508938434,-3.966918945,-5.553695679,-6.467215484,186.6595764,51.10746384,17.39999998,pen
0,0,0,0,0,0,190.6265259,14.6115818,11.10000002,pen
0,0.793392181,0.793392181,0,0.793392181,0.793392181,190.6265259,15.40497398,11.5,pen
0,0,0,0,-0.793392181,-0.793392181,190.6265259,15.40497398,10.60000002,pen
-0.793426514,1.586767197,1.774078851,-0.793426514,1.586767197,1.774078851,189.8330994,16.99174118,11.79999995,pen
-1.586761475,3.966943741,4.272523215,-0.793334961,2.380176544,2.498444364,188.2463379,20.95868492,15.70000005,pen
-2.380187988,3.966943741,4.626222812,-0.793426514,0,0.353699597,185.8661499,24.92562866,18,pen
-0.793334961,1.586784363,1.774053261,1.586853027,-2.380159378,-2.85216955,185.0728149,26.51241302,15.20000005,pen
-0.793426514,0.793392181,1.12205026,-9.15527E-05,-0.793392181,-0.652003001,184.2793884,27.30580521,17.29999995,pen
0,0.793388367,0.793388367,0.793426514,-3.8147E-06,-0.328661893,184.2793884,28.09919357,13.70000005,pen
1.586761475,-0.793388367,1.774056673,1.586761475,-1.586776733,0.980668306,185.8661499,27.30580521,20.0999999,pen
2.380187988,-1.586784363,2.860625714,0.793426514,-0.793395996,1.086569041,188.2463379,25.71902084,14,pen
1.586761475,-0.793392181,1.774058379,-0.793426514,0.793392181,-1.086567335,189.8330994,24.92562866,24.4000001,pen
-0.793365479,3.966945648,4.045502016,-2.380126953,4.76033783,2.271443637,189.0397339,28.89257431,22,pen
-3.173583984,4.7603302,5.721221803,-2.380218506,0.793384552,1.675719788,185.8661499,33.65290451,19.19999993,pen
-0.793334961,2.380176544,2.508908277,2.380249023,-2.380153656,-3.212313526,185.0728149,36.03308105,17.5,pen
0,0.793376923,0.793376923,0.793334961,-1.586799622,-1.715531354,185.0728149,36.82645798,11.5,pen
0.793334961,0,0.793334961,0.793334961,-0.793376923,-4.19617E-05,185.8661499,36.82645798,23.70000005,pen
4.760375977,-2.380157471,5.322248493,3.967041016,-2.380157471,4.528913532,190.6265259,34.44630051,16.10000002,pen
5.553710938,-4.76033783,7.314678491,0.793334961,-2.380180359,1.992429998,196.1802368,29.68596268,18.5999999,pen
