pressure,gapX,gapY,gap,velX,velY,vel,accelerationX,accelerationY,acceleration,posX,posY,msec,Mode
0.2900390625,-6.4000244140625,-3.1999969482421875,7.155437999826101,-0.5203271881331927,-0.26016235351464007,0.5817429268129277,-0.04230302342530266,-0.02115141085476871,0.04729617291144108,749.3875427246094,218,12.300000000046566,page
0.6181640625,-22.4000244140625,-4,22.754364279201386,-2.055048111377491,-0.36697247706343633,2.0875563558855763,-0.14080008470101102,-0.009799093903538359,0.13814802101554421,726.9875183105469,214,10.900000000023283,page
0.689453125,-50.4000244140625,0,50.4000244140625,-4.581820401278409,0,4.581820401278409,-0.2297065718091744,0.033361134278494214,0.2267512768538939,676.5874938964844,214,11,page
0.689453125,0,0,0,0,0,0,0.42035049553372084,0,-0.42035049553372084,676.5874938964844,214,10.899999999906868,page
0.6708984375,-68,6.4000091552734375,68.30051330105495,-5.666666666666667,0.5333340962727865,5.691709441754579,-0.47222222222222227,0.044444508022732206,0.4743091201462149,608.5874938964844,220.40000915527344,12,page
0.66015625,-58.39996337890625,12.79998779296875,59.786247667484034,-5.309087579900568,1.16363525390625,5.4351134243167305,0.032507189706008965,0.05730010523940577,-0.023326910676168048,550.1875305175781,233.1999969482422,11,page
0.66015625,0,0,0,0,0,0,0.5056273885619589,-0.11082240513392858,-0.5176298499349267,550.1875305175781,233.1999969482422,10.5,page
0.5146484375,-100,28.800003051757812,104.06459616882803,-9.090909090909092,2.6181820956143467,9.46041783352982,-0.8264462809917356,0.2380165541467588,0.8600379848663473,450.1875305175781,262,11,page
0.4365234375,-64,21.600006103515625,67.54672652077161,-5.818181818181818,1.9636369185014204,6.140611501888329,0.29752066115702486,-0.059504107010266025,-0.301800575603772,386.1875305175781,283.6000061035156,11,page
0.4365234375,0,0,0,0,0,0,0.5387205387182159,-0.18181823319379203,-0.5685751390612827,386.1875305175781,283.6000061035156,10.800000000046566,page
0.19140625,0,-0.79998779296875,0.79998779296875,0,-0.06779557567505026,0.06779557567505026,0,-0.0057453877690493834,0.0057453877690493834,20.587493896484375,299.6000061035156,11.800000000046566,pen
0.271484375,0,0,0,0,0,0,0,0.006219777584853711,-0.006219777584853711,20.587493896484375,299.6000061035156,10.900000000023283,pen
0.2919921875,-0.79998779296875,-0.79998779296875,1.131353586549326,-0.07618931361607142,-0.07618931361607142,0.10774796062374534,-0.007256125106292517,-0.007256125106292517,0.010261710535594794,19.787506103515625,298.8000183105469,10.5,pen
0.2919921875,0,0,0,0,0,0,0.007187671095871583,0.007187671095871583,-0.01016490194565868,19.787506103515625,298.8000183105469,10.599999999976717,pen
0.2919921875,0,0,0,0,0,0,0,0,0,19.787506103515625,298.8000183105469,11.099999999976717,pen
0.2919921875,0,0,0,0,0,0,0,0,0,19.787506103515625,298.8000183105469,10.70000000006985,pen
0.2919921875,0,0,0,0,0,0,0,0,0,19.787506103515625,298.8000183105469,10.5,pen
0.2919921875,0,0,0,0,0,0,0,0,0,19.787506103515625,298.8000183105469,11,pen
0.28125,0.79998779296875,0,0.79998779296875,0.07339337550234727,0,0.07339337550234727,0.00673333720210774,0,0.00673333720210774,20.587493896484375,298.8000183105469,10.899999999906868,pen
0.28125,0,0,0,0,0,0,-0.0066120158109668,0,-0.0066120158109668,20.587493896484375,298.8000183105469,11.100000000093132,pen
0.28125,0,0,0,0,0,0,0,0,0,20.587493896484375,298.8000183105469,10.899999999906868,pen
0.3427734375,1.600006103515625,0.79998779296875,1.7888543820518943,0.15238153366815477,0.07618931361607142,0.17036708400494233,0.014512527016014739,0.007256125106292517,0.01622543657189927,22.1875,299.6000061035156,10.5,pen
0.3427734375,0,0,0,0,0,0,-0.013250568145056936,-0.006625157705745341,-0.014814529043908028,22.1875,299.6000061035156,11.5,pen
0.33203125,1.600006103515625,-0.79998779296875,1.7888543820518943,0.14678955078093645,-0.07339337550156341,0.16411508092184157,0.013466931264277329,-0.006733337201963912,0.015056429442338625,23.787506103515625,298.8000183105469,10.900000000023283,pen
0.3232421875,2.399993896484375,-1.600006103515625,2.8844393275729523,0.23076864389221174,-0.15384674072231183,0.2773499353429322,0.008074912799143009,-0.007735900501977721,0.010887966771234336,26.1875,297.20001220703125,10.400000000023283,pen
0.3232421875,0,0,0,0,0,0,-0.020789967918260883,0.013860066731768877,-0.024986480661577833,26.1875,297.20001220703125,11.099999999976717,pen
0.328125,7.20001220703125,-0.800018310546875,7.2443222649609735,0.6545465642755682,-0.07272893732244318,0.6585747513600885,0.05950423311596075,-0.006611721574767562,0.05987043194182622,33.38751220703125,296.3999938964844,11,pen
0.3359375,4.79998779296875,-0.79998779296875,4.866195976483892,0.44444331416185684,-0.07407294379308339,0.45057370152434356,-0.019454004640074584,-0.0001244450435772612,-0.019259356466189637,38.1875,295.6000061035156,10.800000000046566,pen
0.3359375,0,0,0,0,0,0,-0.03366994804268369,0.005611586651010962,-0.0341343713277222,38.1875,295.6000061035156,13.199999999953434,pen
0.3359375,5.600006103515625,-1.600006103515625,5.824095456867058,0.5090914639559659,-0.14545510031960227,0.5294632233515507,0.046281042177815084,-0.013223190938145661,0.04813302030468643,43.787506103515625,294,11,pen
0.3525390625,3.199981689453125,-0.79998779296875,3.2984637760227544,0.29357630178406324,-0.07339337550156341,0.3026113555977714,-0.01977203322673783,0.0066111674144848556,-0.020812097959017867,46.98748779296875,293.20001220703125,10.900000000023283,pen
0.3525390625,0,0,0,0,0,0,-0.02693360566820515,0.006733337201963912,-0.027762509687809633,46.98748779296875,293.20001220703125,10.900000000023283,pen
