v_x,v_y,v,aX,aY,a,pos_x,pos_y,msec,v_x/msec,v_y/msec,v/msec,aX/msec,aY/msec,a/msec,Mode
28,1.599975586,28.04567564,28,1.599975586,28.04567564,533.6875305,344.3999939,12.69999993,2.25806452,0.129030289,2.26174804,2.25806452,0.129030289,2.26174804,page
15.19995117,1.600006104,15.28393062,-12.80004883,3.05176E-05,-12.76174502,548.8874817,346,11.60000002,1.225802516,0.129032751,1.232575052,-1.032262004,2.4611E-06,-1.029172987,page
0,0,0,-15.19995117,-1.600006104,-15.28393062,548.8874817,346,11.80000007,0,0,0,-1.225802516,-0.129032751,-1.232575052,page
-0.799987793,0,0.799987793,-0.799987793,0,0.799987793,586.4875183,314.8000183,13.70000005,-0.064515145,0,0.064515145,-0.064515145,0,0.064515145,page
-1.600036621,-0.800018311,1.788895326,-0.800048828,-0.800018311,0.988907533,584.8874817,314,12.60000002,-0.129035212,-0.064517606,0.144265752,-0.064520067,-0.064517606,0.079750608,page
-8,0,8,-6.399963379,0.800018311,6.211104674,576.8874817,314,11.10000002,-0.645161292,0,0.645161292,-0.51612608,0.064517606,0.500895539,page
-21.59997559,0.800018311,21.61478602,-13.59997559,0.800018311,13.61478602,555.2875061,314.8000183,11.79999995,-1.741933518,0.064517606,1.743127908,-1.096772227,0.064517606,1.097966616,page
0,0,0,21.59997559,-0.800018311,-21.61478602,555.2875061,314.8000183,12.20000005,0,0,0,1.741933518,-0.064517606,-1.743127908,page
-40,1.599975586,40.03198623,-40,1.599975586,40.03198623,515.2875061,316.3999939,10.69999993,-3.225806458,0.129030289,3.228385993,-3.225806458,0.129030289,3.228385993,page
-31.20001221,1.600006104,31.24101121,8.799987793,3.05176E-05,-8.790975027,484.0874939,318,12.5,-2.516130022,0.129032751,2.519436393,0.709676436,2.4611E-06,-0.7089496,page
-53.59997559,9.600006104,54.45289249,-22.39996338,8,23.21188128,430.4875183,327.6000061,12.80000007,-4.322578685,0.774194042,4.391362306,-1.806448663,0.645161292,1.871925913,page
0,0,0,53.59997559,-9.600006104,-54.45289249,430.4875183,327.6000061,11.69999993,0,0,0,4.322578685,-0.774194042,-4.391362306,page
-35.20001221,8.799987793,36.28333839,-35.20001221,8.799987793,36.28333839,395.2875061,336.3999939,11.20000005,-2.838710667,0.709676436,2.926075682,-2.838710667,0.709676436,2.926075682,page
-50.40002441,7.200012207,50.91171414,-15.20001221,-1.599975586,14.62837575,344.8874817,343.6000061,11.39999998,-4.064518106,0.580646147,4.105783406,-1.225807438,-0.129030289,1.179707724,page
0,0,0,50.40002441,-7.200012207,-50.91171414,344.8874817,343.6000061,12.10000002,0,0,0,4.064518106,-0.580646147,-4.105783406,page
-43.19995117,16,46.06773037,-43.19995117,16,46.06773037,301.6875305,359.6000061,12.89999998,-3.483867037,1.290322583,3.715139553,-3.483867037,1.290322583,3.715139553,page
-24.80004883,6.399993896,25.6125427,18.39990234,-9.600006104,-20.45518766,276.8874817,366,12.20000005,-2.000003942,0.516128541,2.065527641,1.483863095,-0.774194042,-1.649611912,page
0,0,0,24.80004883,-6.399993896,-25.6125427,276.8874817,366,11.69999993,0,0,0,2.000003942,-0.516128541,-2.065527641,page
0.799987793,0.799987793,1.131353587,0.799987793,0.799987793,1.131353587,243.2875061,385.2000122,11.80000007,0.064515145,0.064515145,0.091238193,0.064515145,0.064515145,0.091238193,page
12.79998779,-2.399993896,13.02304335,12,-3.199981689,11.89168977,256.0874939,382.8000183,11.10000002,1.032257082,-0.193547895,1.050245434,0.967741937,-0.25806304,0.959007241,page
10.40002441,-0.800018311,10.43074959,-2.399963379,1.599975586,-2.592293759,266.4875183,382,11.5,0.838711648,-0.064517606,0.841189485,-0.193545434,0.129030289,-0.209055949,page
20.79998779,-1.599975586,20.86143365,10.39996338,-0.799957275,10.43068406,287.2875061,380.4000244,11.19999993,1.677418374,-0.129030289,1.682373685,0.838706726,-0.064512684,0.8411842,page
0,0,0,-20.79998779,1.599975586,-20.86143365,287.2875061,380.4000244,10.60000002,0,0,0,-1.677418374,0.129030289,-1.682373685,page
32.79998779,-4,33.04299017,32.79998779,-4,33.04299017,320.0874939,376.4000244,12.79999995,2.645160311,-0.322580646,2.664757277,2.645160311,-0.322580646,2.664757277,page
24.79998779,-5.600006104,25.42438717,-8,-1.600006104,-7.618602999,344.8874817,370.8000183,11.10000002,1.999999019,-0.451613396,2.050353808,-0.645161292,-0.129032751,-0.614403469,page
38.40002441,-4,38.60779552,13.60003662,1.600006104,13.18340835,383.2875061,366.8000183,12.30000007,3.096776168,-0.322580646,3.113531903,1.096777149,0.129032751,1.063178095,page
0,0,0,-38.40002441,4,-38.60779552,383.2875061,366.8000183,13.69999993,0,0,0,-3.096776168,0.322580646,-3.113531903,page
27.20001221,-0.800018311,27.2117749,27.20001221,-0.800018311,27.2117749,410.4875183,366,16.20000005,2.193549376,-0.064517606,2.19449798,2.193549376,-0.064517606,2.19449798,page
39.20001221,-0.799987793,39.20817437,12,3.05176E-05,11.99639947,449.6875305,365.2000122,11.79999995,3.161291313,-0.064515145,3.161949552,0.967741937,2.4611E-06,0.967451572,page
40,0,40,0.799987793,0.799987793,0.791825629,489.6875305,365.2000122,13.30000007,3.225806458,0,3.225806458,0.064515145,0.064515145,0.063856906,page
0.799987793,0,0.799987793,0.799987793,0,0.799987793,292.0874939,387.6000671,11.60000002,0.064515145,0,0.064515145,0.064515145,0,0.064515145,page
13.60003662,-1.600067139,13.69383843,12.80004883,-1.600067139,12.89385064,305.6875305,386,12.0999999,1.096777149,-0.129037673,1.104341811,1.032262004,-0.129037673,1.039826666,page
27.19995117,-3.199981689,27.3875378,13.59991455,-1.599914551,13.69369937,332.8874817,382.8000183,11.10000002,2.193544454,-0.25806304,2.208672407,1.096767305,-0.129025367,1.104330596,page
25.60003662,-4.800018311,26.04615232,-1.599914551,-1.600036621,-1.341385475,358.4875183,378,13.10000002,2.064519086,-0.387098252,2.100496159,-0.129025367,-0.129035212,-0.108176248,page
0,0,0,-25.60003662,4.800018311,-26.04615232,358.4875183,378,11.89999998,0,0,0,-2.064519086,0.387098252,-2.100496159,page
46.39996338,-7.199981689,46.95525889,46.39996338,-7.199981689,46.95525889,404.8874817,370.8000183,11.60000002,3.741932538,-0.580643686,3.786714434,3.741932538,-0.580643686,3.786714434,page
36,-2.400024414,36.07991293,-10.39996338,4.799957275,-10.87534596,440.8874817,368.3999939,11,2.903225812,-0.193550356,2.909670403,-0.838706726,0.387093329,-0.877044031,page
0,0,0,-36,2.400024414,-36.07991293,440.8874817,368.3999939,12.70000005,0,0,0,-2.903225812,0.193550356,-2.909670403,page
51.20001221,-1.599975586,51.22500534,51.20001221,-1.599975586,51.22500534,492.0874939,366.8000183,12.29999995,4.12903325,-0.129030289,4.131048826,4.12903325,-0.129030289,4.131048826,page
48.79998779,0,48.79998779,-2.400024414,1.599975586,-2.425017545,540.8874817,366.8000183,11.70000005,3.935482894,0,3.935482894,-0.193550356,0.129030289,-0.195565931,page
0.800018311,0,0.800018311,0.800018311,0,0.800018311,32.88751221,42.80000305,12,0.064517606,0,0.064517606,0.064517606,0,0.064517606,pen
0,0,0,-0.800018311,0,-0.800018311,32.88751221,42.80000305,11.30000007,0,0,0,-0.064517606,0,-0.064517606,pen
0,0,0,0,0,0,32.88751221,42.80000305,11.0999999,0,0,0,0,0,0,pen
0.799987793,0,0.799987793,0.799987793,0,0.799987793,33.6875,42.80000305,14.60000002,0.064515145,0,0.064515145,0.064515145,0,0.064515145,pen
0,0,0,-0.799987793,0,-0.799987793,33.6875,42.80000305,11.20000005,0,0,0,-0.064515145,0,-0.064515145,pen
0.799987793,0,0.799987793,0.799987793,0,0.799987793,34.48748779,42.80000305,11.60000002,0.064515145,0,0.064515145,0.064515145,0,0.064515145,pen
1.600006104,0,1.600006104,0.800018311,0,0.800018311,36.0874939,42.80000305,12.19999993,0.129032751,0,0.129032751,0.064517606,0,0.064517606,pen
4,-0.800003052,4.079216209,2.399993896,-0.800003052,2.479210106,40.0874939,42,14,0.322580646,-0.064516375,0.32896905,0.193547895,-0.064516375,0.199936299,pen
4,-0.800003052,4.079216209,0,0,0,44.0874939,41.19999695,15.70000005,0.322580646,-0.064516375,0.32896905,0,0,0,pen
4,-0.799987793,4.079213217,0,1.52588E-05,-2.99248E-06,48.0874939,40.40000916,21.69999993,0.322580646,-0.064515145,0.328968808,0,1.23055E-06,-2.41329E-07,pen
2.399993896,0,2.399993896,-1.600006104,0.799987793,-1.67921932,50.48748779,40.40000916,16.5,0.193547895,0,0.193547895,-0.129032751,0.064515145,-0.135420913,pen
