velX_min,velX_max,velX_mean,velX_median,velX_last,velY_min,velY_max,velY_mean,velY_median,velY_last,vel_min,vel_max,vel_mean,vel_median,vel_last,velRX_min,velRX_max,velRX_mean,velRX_median,velRX_last,velRY_min,velRY_max,velRY_mean,velRY_median,velRY_last,velR_min,velR_max,velR_mean,velR_median,velR_last,accelerationX_min,accelerationX_max,accelerationX_mean,accelerationX_median,accelerationX_last,accelerationY_min,accelerationY_max,accelerationY_mean,accelerationY_median,accelerationY_last,acceleration_min,acceleration_max,acceleration_mean,acceleration_median,acceleration_last,accelerationRX_min,accelerationRX_max,accelerationRX_mean,accelerationRX_median,accelerationRX_last,accelerationRY_min,accelerationRY_max,accelerationRY_mean,accelerationRY_median,accelerationRY_last,accelerationR_min,accelerationR_max,accelerationR_mean,accelerationR_median,accelerationR_last,pressure_min,pressure_max,pressure_mean,pressure_median,pressure_last,dragTime,widthX,widthY,widthRX,widthRY,Mode
-0.285717192,1.155554877,0.061446851,0,0,-1.066667345,0.761904036,0.070121314,0,0,0,1.572604941,0.288136969,0.130796323,0,-0.285717192,1.155554877,0.061446851,0,0,-1.066663954,0.761907669,0.070121407,0,0,0,1.572602641,0.288136984,0.130796911,0,-0.103174543,0.128394986,0.00058935,0,0.026143724,-0.118518594,0.095238156,-0.003177667,-0.006523141,-0.034859186,-0.140411155,0.174733882,-0.0020929,0.004324712,-0.043573583,-0.103174543,0.128394986,0.00058935,0,0.026143724,-0.118518217,0.095237853,-0.003177651,-0.006523,-0.034858521,-0.14041095,0.174733627,-0.002092892,0.004324712,-0.043573051,0.283203125,0.448242188,0.40250651,0.40625,0.3125,310.7,26.3999939,34.40002441,26.3999939,34.39996338,pen
-0.860215054,2.086957848,0.072876567,0,1.000000635,-1.130437436,2.040816327,0.001475409,0,-0.833333333,0,2.373453571,0.359199582,0.084215394,1.301708767,-0.860215054,2.086957848,0.072876567,0,1.000000635,-1.130430802,2.040816327,0.001475419,0,-0.833333333,0,2.373450412,0.359199629,0.084218573,1.301708767,-0.204603711,0.201998587,0.004045021,0,0.104166733,-0.200080032,0.208246564,-0.005135982,-0.000178918,-0.086805555,-0.232691527,0.231795349,0.002585889,-0.001654582,0.135594663,-0.204603711,0.201998587,0.004045021,0,0.104166733,-0.200080032,0.208246564,-0.005135981,-0.000178749,-0.086805555,-0.232691217,0.231795006,0.002585887,-0.001654756,0.135594663,0.143554688,0.6640625,0.453125,0.434570313,0.143554688,467.4,34.3999939,61.60006714,34.3999939,61.60003662,pen
0,0,0,0,0,0,0.252637361,0.070863161,0.036365856,0.23300319,0,0.252637361,0.070863161,0.036365856,0.23300319,0,0,0,0,0,0,0.252634149,0.070863427,0.036365856,0.233006153,0,0.252634149,0.070863427,0.036365856,0.233006153,0,0,0,0,0,-0.024527899,0.022621669,0.002191372,0.003305987,0.022621669,-0.024527899,0.022621669,0.002191372,0.003305987,0.022621669,0,0,0,0,0,-0.024527587,0.022621957,0.002191394,0.003305987,0.022621957,-0.024527587,0.022621957,0.002191394,0.003305987,0.022621957,0.0625,0.5,0.403808594,0.443359375,0.0625,106.4,0,7.199981689,0,7.200012207,pen
-0.146789551,1.154640433,0.315264382,0,0.71909701,-0.907218382,0,-0.224107148,-0.073396175,-0.359548505,0,1.468414016,0.420946347,0.084209241,0.803974898,-0.146789551,1.154640433,0.315264382,0,0.71909701,-0.907215236,0,-0.224107182,-0.073393376,-0.359551934,0,1.468412073,0.420946318,0.084209241,0.803976431,-0.106911151,0.096022053,0.00887843,0.006733337,0.080797417,-0.054869632,0.084001702,-0.004989119,-0.006733594,-0.040398708,-0.135964261,0.11059345,0.010275865,0.008864131,0.090334258,-0.106911151,0.096022053,0.00887843,0.006733337,0.080797417,-0.054869894,0.084001411,-0.004989155,-0.006733337,-0.040399094,-0.135964081,0.11059358,0.01027588,0.008864131,0.090334431,0.142578125,0.450195313,0.39453125,0.42578125,0.142578125,98.5,32.79998779,20.79998779,32.79998779,20.79998779,pen
-0.080004883,0.06504462,-0.008835364,0,0,0,0.177778456,0.068390623,0.072523226,0,0,0.177778456,0.076131412,0.088099719,0,-0.080004883,0.06504462,-0.008835364,0,0,0,0.177775065,0.068389874,0.0725217,0,0,0.177775065,0.076130782,0.088098113,0,-0.008000488,0.007645143,-0.000294835,0,-0.007652308,-0.017601827,0.019753162,-0.000193401,0.00125649,-0.007652308,-0.017601827,0.019753162,-0.000250882,0.001004553,-0.010821998,-0.008000488,0.007645143,-0.000294835,0,-0.007652308,-0.017601492,0.019752785,-0.000193428,0.001256946,-0.007652308,-0.017601492,0.019752785,-0.000250908,0.001004973,-0.010821998,0.365234375,0.711914063,0.559667969,0.556152344,0.365234375,106.6,1.600036621,5.600067139,1.600036621,5.600036621,pen
-0.491225929,0,-0.184698291,-0.158948627,-0.299066562,0,0.561405651,0.249376696,0.22500672,0.29906371,0,0.745975347,0.313292314,0.295853484,0.422941971,-0.491225929,0,-0.184698291,-0.158948627,-0.299066562,0,0.561400297,0.249376827,0.225006706,0.299066562,0,0.745971318,0.313292469,0.295853205,0.422943988,-0.027950146,0.055821128,-0.003050689,-0.014472178,-0.027950146,-0.063796097,0.048973847,0.003261661,0.010478365,0.027949879,-0.084769926,0.054754704,0.004515364,0.016903761,0.039527287,-0.027950146,0.055821128,-0.003050689,-0.014472178,-0.027950146,-0.063795488,0.04897447,0.003261743,0.010477724,0.027950146,-0.084769468,0.054755261,0.004515426,0.016903221,0.039527476,0.046875,0.3203125,0.229817708,0.245117188,0.046875,70.5,11.20001221,14.39993286,11.20001221,14.39996338,pen
0,1.978497246,0.472952348,0.081631407,0,-0.533331008,0,-0.182229139,-0.075476305,0,0,2.044710875,0.515637072,0.081631407,0,0,1.978497246,0.472952348,0.081631407,0,-0.533336821,0,-0.182228869,-0.075476305,0,0,2.044710047,0.515636942,0.081631407,0,-0.227413477,0.123355788,-0.006760291,0.008329735,-0.227413477,-0.050793429,0.059325402,0.003248481,0.001849463,0.059325402,-0.235024239,0.133403983,-0.007563695,0.007120406,-0.235024239,-0.227413477,0.123355788,-0.006760291,0.008329735,-0.227413477,-0.050793983,0.059325025,0.003248466,0.001850441,0.059325025,-0.235024144,0.133404194,-0.007563687,0.007120406,-0.235024144,0.109375,0.434570313,0.297309028,0.34375,0.109375,96.89999999,49.6000061,19.19995117,49.6000061,19.19995117,pen
0,0.750001271,0.199856182,0,0.44859699,-0.583333969,0,-0.118876473,0,-0.224292791,0,0.950147581,0.234341463,0,0.501544131,0,0.750001271,0.199856182,0,0.44859699,-0.58333079,0,-0.118876733,0,-0.224295643,0,0.950145629,0.234341502,0,0.501545406,-0.15414191,0.078125132,-0.009144557,0,0.041924952,-0.060763955,0.110101845,0.006384789,0,-0.020961943,-0.189425829,0.098973706,-0.01118899,0,0.046873283,-0.15414191,0.078125132,-0.009144557,0,0.041924952,-0.060763624,0.110101845,0.006384791,0,-0.02096221,-0.189425829,0.098973503,-0.011188991,0,0.046873402,0.118164063,0.37890625,0.333697151,0.34375,0.118164063,186.3,44.00003052,25.59997559,44.00003052,25.60003662,pen
-0.123075045,1.103452486,0.146321848,0,0,-0.811590664,0.430765005,0.026689173,0,0,0,1.137411512,0.267451535,0.109210407,0,-0.123075045,1.103452486,0.146321848,0,0,-0.81159951,0.430767353,0.026688986,0,0,0,1.137414064,0.267451847,0.109208324,0,-0.080539616,0.190250429,0.004752951,0,-0.05855658,-0.117621835,0.081978855,-0.001820163,0.002469026,0.081978855,-0.100744259,0.196105433,0.004109897,-0.006857226,-0.100744259,-0.080539616,0.190250429,0.004752951,0,-0.05855658,-0.117623117,0.081979748,-0.001820098,0.002469065,0.081979748,-0.100744986,0.196105873,0.004109946,-0.006857152,-0.100744986,0.374023438,0.758789063,0.591525608,0.641113281,0.470703125,194.9,28,19.19998169,28,19.20001221,pen
-0.316832892,0,-0.113809679,-0.070174368,0,0,0.846146803,0.299217158,0.161610613,0,0,0.877050298,0.329772728,0.2285541,0,-0.316832892,0,-0.113809679,-0.070174368,0,0,0.846152672,0.299217125,0.161613695,0,0,0.87705596,0.329772578,0.22855628,0,-0.024989842,0.033003426,0.000240006,-0.006155646,0,-0.074257237,0.081360269,-0.000649362,0,-0.025828933,-0.081261082,0.084331759,-0.000773063,0.006155646,-0.025828933,-0.024989842,0.033003426,0.000240006,-0.006155646,0,-0.074257552,0.081360834,-0.000649361,0,-0.025828276,-0.081261369,0.084332304,-0.000773061,0.006155646,-0.025828276,0.125,0.677734375,0.433051215,0.470703125,0.125,94.09999999,9.599975586,27.19995117,9.599975586,27.19995117,pen
