pressure0,interval,v0_x,v0_y,v0,aX,aY,a,pos_x,pos_y,msec,Mode
0.30078125,118.7,0,0.489349365,0.489349365,0,0.489349365,0.489349365,245.1748352,277.7223206,13.80000007,pen
0.568359375,147.9,0.489440918,0.4894104,0.692152405,0.489440918,0.4894104,0.692152405,253.9838562,262.0619812,12.4000001,pen
0.249023438,98.39999998,-0.489440918,0,0.489440918,-0.489440918,0,0.489440918,257.4095154,263.040741,12.29999995,pen
0.432617188,170.8,0,0,0,0,0,0,249.5793762,285.5525208,12.4000001,pen
0.321289063,108.3,-0.489379883,0,0.489379883,-0.489379883,0,0.489379883,258.8777161,273.8072205,12.60000002,pen
0.557617188,85.29999995,-0.489379883,0,0.489379883,-0.489379883,0,0.489379883,258.8777161,286.531311,12.5999999,pen
0.396484375,75.60000002,0,0.489379883,0.489379883,0,0.489379883,0.489379883,264.2609558,281.6374207,12.4000001,pen
0.611328125,418.5999999,0,-0.489379883,0.489379883,0,-0.489379883,0.489379883,290.1984558,256.6786804,12.79999995,pen
0.453125,107.9000001,0.489379883,0,0.489379883,0.489379883,0,0.489379883,277.4743958,263.5301208,10.80000007,pen
0.453125,97.39999998,0,-0.489349365,0.489349365,0,-0.489349365,0.489349365,281.8788757,268.9133911,21.5999999,pen
0.3359375,113.6,0,0,0,0,0,0,284.3258362,278.211731,10.5,pen
0.548828125,93.69999993,0,0,0,0,0,0,295.5816956,274.2966309,11.19999993,pen
0.501953125,106.3000001,0,0,0,0,0,0,284.3258362,287.9994812,11.69999993,pen
0.512695313,567.6,-0.489379883,0,0.489379883,-0.489379883,0,0.489379883,320.0510559,267.4452209,11.20000005,pen
0.318359375,79.39999998,0,0,0,0,0,0,321.0298157,280.169281,12.29999995,pen
0.501953125,72.10000002,0,0,0,0,0,0,323.4767761,291.4251404,10.89999998,pen
0.622070313,97.5,-0.489379883,0,0.489379883,-0.489379883,0,0.489379883,349.903656,256.6786804,11.80000007,pen
0.4609375,100.8000001,0,0,0,0,0,0,353.3293762,260.593811,11.30000007,pen
0.44140625,107.4,0,0,0,0,0,0,357.7338562,265.9770508,10.60000002,pen
0.637695313,186.5,0.489379883,0.489349365,0.692066089,0.489379883,0.489349365,0.692066089,380.7350159,254.2317505,12.4000001,pen
0.249023438,1721.3,0,-0.489379883,0.489379883,0,-0.489379883,0.489379883,437.5039368,255.6999207,11,pen
0.639648438,97,-0.489257813,0,0.489257813,-0.489257813,0,0.489257813,440.929718,270.8709106,12.10000002,pen
0.8984375,153.0999999,0.489379883,0,0.489379883,0.489379883,0,0.489379883,457.0793762,255.2105408,11.10000002,pen
0.3125,85.39999998,0,0,0,0,0,0,455.6112976,266.4664307,12.5,pen
0.405273438,115.9000001,0,0,0,0,0,0,487.4214172,265.4876404,10.60000002,pen
0.3359375,48.10000002,0,0,0,0,0,0,487.9107361,282.1268005,12.29999995,pen
0.318359375,118.6,0,-0.489349365,0.489349365,0,-0.489349365,0.489349365,508.9543762,260.593811,11.70000005,pen
0.33203125,115.4000001,-0.489379883,0,0.489379883,-0.489379883,0,0.489379883,532.4449768,266.4664307,11.30000007,pen
0.383789063,8426.7,0,0,0,0,0,0,91.31747437,362.3037109,11,pen
