pressure0,interval,gapX,gapY,gap,pos_x,pos_y,msec,v_x,v_y,v,aX,aY,a,Mode
0.98046875,371.9000001,0,0,0,373.6889954,272.0895691,11,0,0,0,0,0,0,pen
0.981445313,144.8000001,0,0,0,383.8241272,271.6069336,11.69999993,0,0,0,0,0,0,pen
0.98046875,138.9000001,0,0,0,403.6117249,266.7807312,12,0,0,0,0,0,0,pen
0.98046875,101.5,0,0,0,415.6773376,270.6416931,12.20000005,0,0,0,0,0,0,pen
0.981445313,234.4,0,0,0,430.1560364,218.035675,12.70000005,0,0,0,0,0,0,pen
0.981445313,129.5999999,0,-0.482620239,0.482620239,433.0517883,221.8966522,11.30000007,0,-0.042709755,0.042709755,0,-0.003779624,0.003779624,pen
0.981445313,97.29999995,0,-0.48260498,0.48260498,430.6387024,233.962265,11.5,0,-0.04196565,0.04196565,0,-0.003649187,0.003649187,pen
0.98046875,95.5,0,0,0,434.9822693,243.6147461,10.79999995,0,0,0,0,0,0,pen
0.98046875,132.5,0,0,0,426.2951355,258.5760803,11.89999998,0,0,0,0,0,0,pen
0.98046875,104.3000001,0.482543945,0,0.482543945,424.3645325,263.8849792,13.89999998,0.034715392,0,0.034715392,0.00249751,0,0.00249751,pen
0.98046875,110.1,0,0,0,440.2911682,255.6803589,11.80000007,0,0,0,0,0,0,pen
0.98046875,94.89999998,0,-0.482635498,0.482635498,426.7776794,275.467926,12.70000005,0,-0.038002795,0.038002795,0,-0.002992346,0.002992346,pen
0.98046875,105.4,0,0,0,431.6039124,283.6725769,12.80000007,0,0,0,0,0,0,pen
0.98046875,584,0,0.482620239,0.482620239,479.8663635,218.5182953,11.60000002,0,0.041605193,0.041605193,0,0.003586655,0.003586655,pen
0.977539063,7634.6,0.965209961,-1.447906494,1.74013318,235.6584778,316.0083618,14.39999998,0.06702847,-0.100549062,0.120842582,0.004654755,-0.006982574,0.008391846,pen
0.981445313,158.2,0,0.48260498,0.48260498,244.8283997,303.9427795,12,0,0.040217082,0.040217082,0,0.003351423,0.003351423,pen
0.98046875,134,-0.482666016,0,0.482666016,244.3457336,330.9697266,10.89999998,-0.044281286,0,0.044281286,-0.004062503,0,0.004062503,pen
0.98046875,542.9,0,0,0,116.4503479,362.822937,11.39999998,0,0,0,0,0,0,pen
0.981445313,148.2,0.482666016,-0.965240479,1.079192135,128.5159607,367.1665649,13.79999995,0.034975798,-0.069944962,0.078202329,0.002534478,-0.005068476,0.005666835,pen
0.979492188,119.7,0,0,0,141.0641479,358.4793091,10.79999995,0,0,0,0,0,0,pen
0.98046875,204.3,0,-0.482666016,0.482666016,164.2301331,371.0275269,11.39999998,0,-0.042339124,0.042339124,0,-0.003713958,0.003713958,pen
0.98046875,144.8000001,0,0,0,184.5003357,351.7225952,11.69999993,0,0,0,0,0,0,pen
0.98046875,129.5,0,0,0,164.7127991,360.40979,11.39999998,0,0,0,0,0,0,pen
0.981445313,170.6,0.48260498,0.482635498,0.682528088,205.2531738,354.1356812,16,0.030162811,0.030164719,0.042658006,0.001885176,0.001885295,0.002666125,pen
0.981445313,139.4,0,0,0,209.1141663,374.4058838,11.20000005,0,0,0,0,0,0,pen
0.98046875,122.3000001,0,0,0,186.4308472,384.0583801,11.29999995,0,0,0,0,0,0,pen
0.98046875,129.4,0,0,0,222.1450195,380.1973877,11.79999995,0,0,0,0,0,0,pen
0.982421875,155.2,0,0,0,218.2840271,357.0314636,12.20000005,0,0,0,0,0,0,pen
0.981445313,91.10000002,-0.48260498,0,0.48260498,227.4539185,363.305542,12.80000007,-0.037703514,0,0.037703514,-0.002945587,0,0.002945587,pen
