pressure0,interval,gapX,gapY,gap,pos_x,pos_y,msec,v_x,v_y,v,aX,aY,a,Mode
0.231445313,84.10000002,0,0.800003052,0.800003052,379.2875061,27.6000061,11.70000005,0,0.068376329,0.068376329,0,0.005844131,0.005844131,pen
0.318359375,155.3000001,0,0,0,352.8874817,42,11.29999995,0,0,0,0,0,0,pen
0.325195313,145.9,0.800048828,0,0.800048828,353.6875305,45.20000076,11.19999993,0.071432932,0,0.071432932,0.00637794,0,0.00637794,pen
0.26953125,133.8,0,0,0,352.0874939,58.80000305,11.5,0,0,0,0,0,0,pen
0.249023438,63.5,-0.799987793,0,0.799987793,356.0874939,66,11.60000002,-0.068964465,0,0.068964465,-0.005945212,0,0.005945212,pen
0.278320313,105.8,0.799987793,0,0.799987793,350.4875183,74.80000305,18.10000002,0.044198221,0,0.044198221,0.002441891,0,0.002441891,pen
0.298828125,146.9,-0.799987793,0,0.799987793,331.2875061,87.6000061,12.5,-0.063999023,0,0.063999023,-0.005119922,0,0.005119922,pen
0.1875,144.4,0,0.800003052,0.800003052,355.2875061,75.6000061,13.29999995,0,0.060150606,0.060150606,0,0.004522602,0.004522602,pen
0.5546875,130.5,0,0,0,373.6875305,70,12.39999998,0,0,0,0,0,0,pen
0.2421875,13358.5,-0.800018311,0,0.800018311,82.48748779,232.4000092,11.5,-0.06956681,0,0.06956681,-0.006049288,0,0.006049288,pen
0.178710938,99.5,0,0,0,96.0874939,229.1999969,14.39999998,0,0,0,0,0,0,pen
0.295898438,124.6,0.800018311,0,0.800018311,79.2875061,242,11.39999998,0.070177045,0,0.070177045,0.006155881,0,0.006155881,pen
0.23828125,179.8000001,0,0.800018311,0.800018311,76.0874939,250.8000183,13.60000002,0,0.058824876,0.058824876,0,0.004325358,0.004325358,pen
0.181640625,108.4,-0.800018311,-0.800018311,1.131396745,74.48748779,260.3999939,12.20000005,-0.065575271,-0.065575271,0.092737438,-0.005375022,-0.005375022,0.007601429,pen
0.264648438,95.79999995,0,0,0,73.6875,264.3999939,11.10000002,0,0,0,0,0,0,pen
0.168945313,51.89999998,-0.799987793,0,0.799987793,80.88751221,270,11.29999995,-0.07079538,0,0.07079538,-0.006265078,0,0.006265078,pen
0.463867188,115.8,0,0.799987793,0.799987793,93.6875,255.6000061,12.20000005,0,0.06557277,0.06557277,0,0.005374817,0.005374817,pen
0.46875,501.9000001,0,0,0,123.2875061,237.1999969,11.0999999,0,0,0,0,0,0,pen
0.545898438,89.5,0.799987793,0,0.799987793,124.0874939,242,11.5,0.069564156,0,0.069564156,0.006049057,0,0.006049057,pen
0.203125,103.3000001,-0.799987793,0.799987793,1.131353587,127.2875061,255.6000061,16.29999995,-0.049079006,0.049079006,0.069408196,-0.003010982,0.003010982,0.004258172,pen
