pressure0,intervalTime,gapX,gapY,gap,velX,velY,vel,accelerationX,accelerationY,acceleration,posX,posY,msec,Mode
0.5888671875,1057.1000000014901,-0.79998779296875,-0.79998779296875,1.131353586549326,-0.07017436781344895,-0.07017436781344895,0.0992415426927375,-0.006155646300229963,-0.006155646300229963,0.008705398482956978,618.1875305175781,212.40000915527344,11.399999998509884,page
0.408203125,3239.2999999970198,-0.800018310546875,0,0.800018310546875,-0.07476806638542512,0,0.07476806638542512,-0.006987669753700957,0,0.006987669753700957,24.587493896484375,296.3999938964844,10.700000002980232,pen
0.73828125,1893.2000000029802,2.4000244140625,-1.5999755859375,2.884447791812515,0.21621841565228014,-0.14414194465970376,0.25986016138966606,0.019479136542635493,-0.012985760778410222,0.023410825347277585,359.7875061035156,314.8000183105469,11.100000001490116,page
0.1513671875,2816.6999999955297,0,-0.800018310546875,0.800018310546875,0,-0.07547342551268027,0.07547342551268027,0,-0.0071201344813274,0.0071201344813274,340.5874938964844,338,10.600000001490116,pen
0.70703125,985.2999999970198,-28.79998779296875,0,28.79998779296875,-2.5263147190116886,0,2.5263147190116886,-0.22160655432823756,0,0.22160655432823756,642.1875305175781,214,11.399999998509884,page
0.0849609375,3612.5999999940395,0.79998779296875,0,0.79998779296875,0.07142748149606067,0,0.07142748149606067,0.006377453703308426,0,0.006377453703308426,529.3874816894531,361.20001220703125,11.200000002980232,pen
0.5,907.1000000014901,-6.39996337890625,0.79998779296875,6.449768346246253,-0.5818148526278409,0.07272616299715909,0.5863425769314775,-0.05289225932980372,0.006611469363378099,0.053303870630134316,658.9875183105469,241.1999969482422,11,page
0.3056640625,2448.10000000149,0,1.600006103515625,1.600006103515625,0,0.1509439720085567,0.1509439720085567,0,0.014239997357295985,0.014239997357295985,119.78750610351562,275.6000061035156,10.600000001490116,pen
0.3740234375,124.79999999701977,0,-1.600006103515625,1.600006103515625,0,-0.1509439720085567,0.1509439720085567,0,-0.014239997357295985,0.014239997357295985,116.58749389648438,278,10.600000001490116,pen
0.234375,124.89999999850988,0,0,0,0,0,0,0,0,0,130.1875,273.20001220703125,10.600000001490116,pen
0.5234375,98.40000000596046,0,-0.79998779296875,0.79998779296875,0,-0.0792067122218672,0.0792067122218672,0,-0.007842248739466401,0.007842248739466401,122.98748779296875,290.8000183105469,10.099999994039536,pen
0.4794921875,78.80000000447035,0,0,0,0,0,0,0,0,0,122.98748779296875,316.3999938964844,10.699999995529652,pen
0.662109375,143.20000000298023,0,0,0,0,0,0,0,0,0,174.98748779296875,266,10.099999994039536,pen
0.484375,125.5,-0.79998779296875,0.79998779296875,1.131353586549326,-0.06896446490224008,0.06896446490224008,0.09753048158655124,-0.005945212490808709,0.005945212490808709,0.008407800135691607,201.38751220703125,260.3999938964844,11.600000001490116,pen
0.146484375,56.70000000298023,0,-0.79998779296875,0.79998779296875,0,-0.07843017581562355,0.07843017581562355,0,-0.007689232926470303,0.007689232926470303,185.38751220703125,259.6000061035156,10.199999995529652,pen
0.4931640625,85.10000000149012,0,0.79998779296875,0.79998779296875,0,0.07079537992741032,0.07079537992741032,0,0.006265077871334664,0.006265077871334664,190.1875,288.3999938964844,11.299999997019768,pen
0.234375,59,0,0,0,0,0,0,0,0,0,207.78750610351562,274,11.399999998509884,pen
0.3408203125,93.60000000149012,0,0,0,0,0,0,0,0,0,210.98748779296875,268.3999938964844,11.099999994039536,pen
0.3095703125,138.20000000298023,0,0.79998779296875,0.79998779296875,0,0.07339337551175364,0.07339337551175364,0,0.006733337203833678,0.006733337203833678,218.1875,271.6000061035156,10.899999998509884,pen
0.6357421875,125.10000000149012,0,0,0,0,0,0,0,0,0,209.38751220703125,287.6000061035156,10.399999998509884,pen
0.375,91.89999999850988,0,0,0,0,0,0,0,0,0,213.38751220703125,302,10.300000004470348,pen
0.380859375,275,0,-0.79998779296875,0.79998779296875,0,-0.07207097232985188,0.07207097232985188,0,-0.006492880389205111,0.006492880389205111,266.1875305175781,274.8000183105469,11.100000001490116,pen
0.5087890625,92.80000000447035,0.79998779296875,0,0.79998779296875,0.07272616299715909,0,0.07272616299715909,0.006611469363378099,0,0.006611469363378099,273.3874816894531,266.8000183105469,11,pen
0.4033203125,74.30000000447035,-0.800048828125,0,0.800048828125,-0.07273171164772728,0,0.07273171164772728,-0.006611973786157025,0,0.006611973786157025,285.3874816894531,287.6000061035156,11,pen
0.580078125,698.3999999985099,-0.800048828125,0,0.800048828125,-0.07339897506737367,0,0.07339897506737367,-0.0067338509245328335,0,0.0067338509245328335,333.3874816894531,262.8000183105469,10.899999998509884,pen
0.4306640625,105.19999999552965,0,-0.800018310546875,0.800018310546875,0,-0.07476806638542512,0.07476806638542512,0,-0.006987669753700957,0.006987669753700957,326.1875305175781,282,10.700000002980232,pen
0.455078125,85.20000000298023,0,-0.79998779296875,0.79998779296875,0,-0.06956415591032608,0.06956415591032608,0,-0.006049057035680529,0.006049057035680529,318.1875305175781,290.8000183105469,11.5,pen
0.5869140625,118.19999999552965,0,0,0,0,0,0,0,0,0,336.5874938964844,258,10.899999998509884,pen
0.40625,123.90000000596046,-0.79998779296875,0.800018310546875,1.1313751659415578,-0.06779557569244038,0.06779816192787536,0.09587925137519494,-0.005745387771996862,0.005745606944491406,0.008125360288085628,328.5874938964844,293.20001220703125,11.799999997019768,pen
0.365234375,90.70000000298023,0.79998779296875,-0.79998779296875,1.131353586549326,0.07547054649587642,-0.07547054649587642,0.10673147041417771,0.007119862875968585,-0.007119862875968585,0.010069006641431483,339.7875061035156,290.8000183105469,10.600000001490116,pen
